ID,Prob1
0, 0.34
1, 0.37
2, 0.23
3, 0.24
4, 0.23
5, 0.24
6, 0.31
7, 0.23
8, 0.31
9, 0.29
10, 0.33
11, 0.24
12, 0.26
13, 0.48
14, 0.23
15, 0.40
16, 0.24
17, 0.66
18, 0.26
19, 0.24
20, 0.42
21, 0.37
22, 0.24
23, 0.32
24, 0.26
25, 0.33
26, 0.29
27, 0.24
28, 0.24
29, 0.26
30, 0.30
31, 0.25
32, 0.24
33, 0.33
34, 0.42
35, 0.24
36, 0.24
37, 0.26
38, 0.46
39, 0.24
40, 0.24
41, 0.40
42, 0.30
43, 0.46
44, 0.29
45, 0.30
46, 0.40
47, 0.30
48, 0.33
49, 0.37
50, 0.26
51, 0.29
52, 0.40
53, 0.23
54, 0.30
55, 0.24
56, 0.25
57, 0.30
58, 0.36
59, 0.22
60, 0.22
61, 0.24
62, 0.37
63, 0.32
64, 0.33
65, 0.26
66, 0.35
67, 0.32
68, 0.24
69, 0.56
70, 0.49
71, 0.30
72, 0.30
73, 0.29
74, 0.66
75, 0.40
76, 0.25
77, 0.42
78, 0.33
79, 0.29
80, 0.39
81, 0.33
82, 0.29
83, 0.37
84, 0.29
85, 0.24
86, 0.37
87, 0.40
88, 0.30
89, 0.30
90, 0.28
91, 0.26
92, 0.33
93, 0.66
94, 0.24
95, 0.31
96, 0.39
97, 0.30
98, 0.29
99, 0.51
100, 0.66
101, 0.24
102, 0.28
103, 0.34
104, 0.29
105, 0.51
106, 0.23
107, 0.66
108, 0.49
109, 0.24
110, 0.24
111, 0.29
112, 0.60
113, 0.24
114, 0.47
115, 0.24
116, 0.26
117, 0.43
118, 0.58
119, 0.37
120, 0.66
121, 0.34
122, 0.22
123, 0.29
124, 0.23
125, 0.39
126, 0.40
127, 0.40
128, 0.37
129, 0.58
130, 0.23
131, 0.28
132, 0.26
133, 0.32
134, 0.43
135, 0.32
136, 0.29
137, 0.51
138, 0.30
139, 0.40
140, 0.27
141, 0.26
142, 0.56
143, 0.22
144, 0.37
145, 0.30
146, 0.26
147, 0.30
148, 0.24
149, 0.24
150, 0.33
151, 0.66
152, 0.30
153, 0.51
154, 0.29
155, 0.31
156, 0.29
157, 0.32
158, 0.24
159, 0.40
160, 0.56
161, 0.23
162, 0.26
163, 0.24
164, 0.66
165, 0.23
166, 0.26
167, 0.23
168, 0.30
169, 0.31
170, 0.52
171, 0.51
172, 0.34
173, 0.32
174, 0.29
175, 0.24
176, 0.66
177, 0.24
178, 0.37
179, 0.24
180, 0.40
181, 0.26
182, 0.31
183, 0.26
184, 0.23
